mode,question_index,question,gold_item,rerank_score,rerank_percentile,embedding_similarity,embedding_percentile,total_items_count,avg_percentile
fact,0,在2024年，一个西方大国讨论了暂缓向其中东盟友供应进攻性武器，以应对一场人道危机；同年晚些时候，一个地区强国因关键人物被暗杀而威胁发动导弹报复；在年中，加沙地带的一个难民营袭击事件中，该西方大国被报...,2024年1月28日，美国官员透露，拜登政府希望暂缓供应155毫米非制导炮弹和制导航弹，但会继续提供联合直接攻击弹药（JDAM）的改装套件和防空武器。,0.18547656945151295,0.16,0.5398333072662354,0.3,50,0.22999999999999998
fact,0,在2024年，一个西方大国讨论了暂缓向其中东盟友供应进攻性武器，以应对一场人道危机；同年晚些时候，一个地区强国因关键人物被暗杀而威胁发动导弹报复；在年中，加沙地带的一个难民营袭击事件中，该西方大国被报...,2024年9月27日，黎真主党总书记纳斯鲁拉遭到以军暗杀。,0.18991098651256164,0.12,0.5346695780754089,0.34,50,0.23
fact,0,在2024年，一个西方大国讨论了暂缓向其中东盟友供应进攻性武器，以应对一场人道危机；同年晚些时候，一个地区强国因关键人物被暗杀而威胁发动导弹报复；在年中，加沙地带的一个难民营袭击事件中，该西方大国被报...,2024年6月8日，以色列国防军对加沙中部努赛赖特难民营发动袭击，造成超过200人死亡。,0.6281056101971566,0.02,0.6436158418655396,0.02,50,0.02
fact,0,在2024年，一个西方大国讨论了暂缓向其中东盟友供应进攻性武器，以应对一场人道危机；同年晚些时候，一个地区强国因关键人物被暗杀而威胁发动导弹报复；在年中，加沙地带的一个难民营袭击事件中，该西方大国被报...,2024年6月8日，美国《华盛顿邮报》援引多名知情人士的消息称，美国驻扎在以色列的一个团队向以军提供了一些情报，帮助以军实施了袭击。,0.33342763863782693,0.04,0.6229779720306396,0.04,50,0.04
fact,0,在2024年，一个西方大国讨论了暂缓向其中东盟友供应进攻性武器，以应对一场人道危机；同年晚些时候，一个地区强国因关键人物被暗杀而威胁发动导弹报复；在年中，加沙地带的一个难民营袭击事件中，该西方大国被报...,2024年9月30日，伊朗外交部发言人卡纳尼表示，伊朗将对此作出回应；对于以色列针对伊朗的任何侵略行动，伊朗都不会置之不理。,0.14858021086458986,0.48,0.46359339356422424,0.66,50,0.5700000000000001
fact,1,一位美国前总统，在2020年对伊朗实施了强硬政策，并在2024年干预了一个中东盟友原定于当年5月进行的军事行动——该行动针对伊朗核设施。同年早些时候，这个盟友的最高法院作出了一项影响政府资金分配的争议...,2020年12月13日，《华尔街日报》报道美国当选总统特朗普将在第二任期延续对伊朗极限施压政策。,0.18865285438250118,0.04285714285714286,0.6636640429496765,0.014285714285714285,70,0.02857142857142857
fact,1,一位美国前总统，在2020年对伊朗实施了强硬政策，并在2024年干预了一个中东盟友原定于当年5月进行的军事行动——该行动针对伊朗核设施。同年早些时候，这个盟友的最高法院作出了一项影响政府资金分配的争议...,2024年4月16日，《纽约时报》报道以色列原计划2024年5月袭击伊朗核设施但被特朗普阻止。,0.19552735212911015,0.02857142857142857,0.5640011429786682,0.15714285714285714,70,0.09285714285714286
fact,1,一位美国前总统，在2020年对伊朗实施了强硬政策，并在2024年干预了一个中东盟友原定于当年5月进行的军事行动——该行动针对伊朗核设施。同年早些时候，这个盟友的最高法院作出了一项影响政府资金分配的争议...,2024年3月28日，以色列最高法院拒绝政府延期请求，规定自4月1日起冻结部分拒绝响应征兵令的宗教机构补助资金。,0.1616505835416814,0.3,0.4435536563396454,0.5428571428571428,70,0.4214285714285714
fact,1,一位美国前总统，在2020年对伊朗实施了强硬政策，并在2024年干预了一个中东盟友原定于当年5月进行的军事行动——该行动针对伊朗核设施。同年早些时候，这个盟友的最高法院作出了一项影响政府资金分配的争议...,2024年3月28日，以色列总理内塔尼亚胡致信最高法院，称政府需要更多时间制定解决方案。,0.17797130404917383,0.1,0.45807814598083496,0.4857142857142857,70,0.29285714285714287
fact,2,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭...,2024年4月16日，美国《纽约时报》报道称以色列原计划2024年5月袭击伊朗核设施。,0.29492786641402474,0.023809523809523808,0.6221224069595337,0.023809523809523808,42,0.023809523809523808
fact,2,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭...,2024年4月7日，美国总统特朗普与以色列总理内塔尼亚胡在白宫举行会谈，特朗普明确告诉内塔尼亚胡，美国不会支持以色列在5月袭击伊朗核设施。,0.19352995506429135,0.047619047619047616,0.49798762798309326,0.11904761904761904,42,0.08333333333333333
fact,2,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭...,2024年12月13日，美国当选总统特朗普在与以色列总理内塔尼亚胡通电话时告诉对方，他担心自己任期内伊朗会实现‘核突破’。,0.18215529324733268,0.11904761904761904,0.49621230363845825,0.14285714285714285,42,0.13095238095238093
fact,2,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭...,2024年9月9日，美国总统特朗普就伊朗袭击美军基地事件发表声明，表示在伊朗空袭中，没有美国人受伤。,0.19028990045500901,0.09523809523809523,0.4927443861961365,0.16666666666666666,42,0.13095238095238093
fact,3,在一个关键年份，一个西亚国家对美军基地发动了袭击；随后，一位美国领导人对该国的核计划表达了担忧；之后不久，以色列计划对该国实施一项秘密军事行动。这个国家的名称是什么？,2020年1月9日，美军一名高级官员告诉《华盛顿邮报》，他们在1月7日下午就知道伊朗计划空袭美国在伊拉克的军事目标。,0.163688976553879,0.08064516129032258,0.5739675164222717,0.06451612903225806,62,0.07258064516129031
fact,3,在一个关键年份，一个西亚国家对美军基地发动了袭击；随后，一位美国领导人对该国的核计划表达了担忧；之后不久，以色列计划对该国实施一项秘密军事行动。这个国家的名称是什么？,2020年12月，特朗普与以色列总理内塔尼亚胡通电话时表示担心伊朗会实现‘核突破’。,0.19080800992925287,0.03225806451612903,0.6133408546447754,0.03225806451612903,62,0.03225806451612903
fact,3,在一个关键年份，一个西亚国家对美军基地发动了袭击；随后，一位美国领导人对该国的核计划表达了担忧；之后不久，以色列计划对该国实施一项秘密军事行动。这个国家的名称是什么？,2021年4月16日，美国《纽约时报》报道以色列原计划2021年5月袭击伊朗核设施。,0.23444854802152115,0.016129032258064516,0.6284405589103699,0.016129032258064516,62,0.016129032258064516
fact,5,在2024年，一位美国前总统升级了对一个西亚国家的极限施压政策，担忧其核计划进展；同年，以色列计划对该国核设施实施空袭，但被美国高层干预阻止。在以色列，负责国防事务的高级官员因在内部兵役争议中的立场而...,特朗普最近与以色列总理内塔尼亚胡通电话时告诉对方自己担心伊朗会实现核突破。,0.1550582955609052,0.5625,0.6257040500640869,0.1875,64,0.375
fact,6,在2024年，一个北约成员国的情报行动帮助其盟友在海上冲突中重创了对手的一个关键资产。作为回应，该对手被揭露计划针对一个欧洲武器制造商的领导进行暗杀，该制造商生产一种特定口径的炮弹，而与此同时，该对手...,2024年5月5日，两名美国官员宣称，美国通过分享情报帮助乌克兰军队于4月13日重创了俄罗斯黑海舰队旗舰“莫斯科号”。,0.1932326199959453,0.041666666666666664,0.5355645418167114,0.125,48,0.08333333333333333
fact,6,在2024年，一个北约成员国的情报行动帮助其盟友在海上冲突中重创了对手的一个关键资产。作为回应，该对手被揭露计划针对一个欧洲武器制造商的领导进行暗杀，该制造商生产一种特定口径的炮弹，而与此同时，该对手...,2024年7月11日，五名来自美国及其他西方国家的知情官员透露，美国情报机构发现俄罗斯政府计划暗杀德国莱茵金属公司总裁阿明·帕佩格。,0.24514814449005812,0.020833333333333332,0.6170492172241211,0.020833333333333332,48,0.020833333333333332
fact,6,在2024年，一个北约成员国的情报行动帮助其盟友在海上冲突中重创了对手的一个关键资产。作为回应，该对手被揭露计划针对一个欧洲武器制造商的领导进行暗杀，该制造商生产一种特定口径的炮弹，而与此同时，该对手...,莱茵金属是德国最大、最成功的155毫米炮弹制造商。,0.15730762612077148,0.3125,0.47245943546295166,0.5,48,0.40625
fact,6,在2024年，一个北约成员国的情报行动帮助其盟友在海上冲突中重创了对手的一个关键资产。作为回应，该对手被揭露计划针对一个欧洲武器制造商的领导进行暗杀，该制造商生产一种特定口径的炮弹，而与此同时，该对手...,2024年8月9日，两位匿名的欧洲情报官员透露，伊朗预计将很快向俄罗斯交付数百枚短程弹道导弹。,0.17346830689585443,0.10416666666666667,0.5406802892684937,0.10416666666666667,48,0.10416666666666667
fact,6,在2024年，一个北约成员国的情报行动帮助其盟友在海上冲突中重创了对手的一个关键资产。作为回应，该对手被揭露计划针对一个欧洲武器制造商的领导进行暗杀，该制造商生产一种特定口径的炮弹，而与此同时，该对手...,2023年12月13日，俄罗斯国防部的代表与伊朗方面的官员签署了合同，涉及法塔赫-360导弹以及“阿巴比尔”导弹系统。,0.15626354220874794,0.3333333333333333,0.5052924156188965,0.22916666666666666,48,0.28125
fact,7,在2023年的一场政治改革争议中，一个中东国家的国防高层官员被解除职务。随后，该国军方计划在2024年对一个核能敏感设施实施突袭行动，但这一计划被一位前西方大国领导人通过外交干预所阻止。这个设施所在的...,2023年3月26日，内塔尼亚胡解除国防部长约亚夫·加兰特职务。,0.198615120035161,0.044444444444444446,0.5185061693191528,0.2,90,0.12222222222222223
fact,7,在2023年的一场政治改革争议中，一个中东国家的国防高层官员被解除职务。随后，该国军方计划在2024年对一个核能敏感设施实施突袭行动，但这一计划被一位前西方大国领导人通过外交干预所阻止。这个设施所在的...,2024年4月16日，以色列原计划5月袭击伊朗核设施但被特朗普阻止。,0.4194475884631618,0.011111111111111112,0.6733130216598511,0.011111111111111112,90,0.011111111111111112
fact,7,在2023年的一场政治改革争议中，一个中东国家的国防高层官员被解除职务。随后，该国军方计划在2024年对一个核能敏感设施实施突袭行动，但这一计划被一位前西方大国领导人通过外交干预所阻止。这个设施所在的...,2020年12月13日，特朗普团队考虑对伊朗核设施发起预防性空袭。,0.1552202773678675,0.23333333333333334,0.6157515048980713,0.03333333333333333,90,0.13333333333333333
fact,8,在2024年，一个与俄罗斯有密切军事合作的中东国家，被西方情报机构评估为可能对另一个特定区域国家发动弹道导弹袭击，这一评估源于该国家近期向俄罗斯供应特定进攻性武器的行为。此前，在2023年，这个国家曾...,2024年8月9日，路透社报道，两位匿名的欧洲情报官员透露，伊朗预计将很快向俄罗斯交付数百枚短程弹道导弹。,0.40526417817636295,0.041666666666666664,0.6099656820297241,0.041666666666666664,48,0.041666666666666664
fact,8,在2024年，一个与俄罗斯有密切军事合作的中东国家，被西方情报机构评估为可能对另一个特定区域国家发动弹道导弹袭击，这一评估源于该国家近期向俄罗斯供应特定进攻性武器的行为。此前，在2023年，这个国家曾...,2024年10月1日，美国白宫高级官员透露，白宫认为伊朗“即将”向以色列发动弹道导弹袭击。,0.3769368460989694,0.08333333333333333,0.5576955080032349,0.14583333333333334,48,0.11458333333333334
fact,8,在2024年，一个与俄罗斯有密切军事合作的中东国家，被西方情报机构评估为可能对另一个特定区域国家发动弹道导弹袭击，这一评估源于该国家近期向俄罗斯供应特定进攻性武器的行为。此前，在2023年，这个国家曾...,2023年8月8日，伊朗军方用自制的默萨德（Mersad）地对空导弹在伊朗领空内击落一架外国无人机。,0.5781424052215739,0.020833333333333332,0.5956395864486694,0.0625,48,0.041666666666666664
